State_x,District,NDVI,Rainfall,Temperature,Year,,Area,Production,Yield,Crop
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Sugarcane_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Sunflower_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Sweet potato_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Tapioca_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Tobacco_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Urad_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Arecanut_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Cashewnut_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Castor seed_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Coriander_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Horse-gram_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Linseed_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Oilseeds total_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Onion_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Soyabean_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Turmeric_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Safflower_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Gram_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Rapeseed &Mustard_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Sannhamp_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Mesta_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Wheat_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Niger seed_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Black pepper_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Guar seed_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,480,3691,7.69,Peas & beans (Pulses)_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Jute_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Barley_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Moth_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Other Cereals_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Masoor_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Banana_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Mango_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Brinjal_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Garlic_Kharif
